Rank,Artist,Song,Year,ArtistSong
1,Domenico Modugno,Volare (Nel Blu Dipinto Di Blu),1958,Domenico ModugnoVolare (Nel Blu Dipinto Di Blu)
2,Everly Brothers,All I Have To Do Is Dream / Claudette,1958,Everly BrothersAll I Have To Do Is Dream / Claudette
3,Elvis Presley,Don’t / I Beg Of You,1958,Elvis PresleyDon’t / I Beg Of You
4,David Seville,Witch Doctor,1958,David SevilleWitch Doctor
5,Perez Prado,Patricia,1958,Perez PradoPatricia
6,Billy Vaughn,Sail Along Silvery Moon / Raunchy,1958,Billy VaughnSail Along Silvery Moon / Raunchy
7,Perry Como,Catch A Falling Star / Magic Moments,1958,Perry ComoCatch A Falling Star / Magic Moments
8,Champs,Tequila,1958,ChampsTequila
9,Tommy Edwards,It’s All In The Game,1958,Tommy EdwardsIt’s All In The Game
10,Dean Martin,Return To Me,1958,Dean MartinReturn To Me
1,Johnny Horton,The Battle Of New Orleans,1959,Johnny HortonThe Battle Of New Orleans
2,Bobby Darin,Mack The Knife,1959,Bobby DarinMack The Knife
3,Lloyd Price,Personality,1959,Lloyd PricePersonality
4,Frankie Avalon,Venus,1959,Frankie AvalonVenus
5,Paul Anka,Lonely Boy,1959,Paul AnkaLonely Boy
6,Bobby Darin,Dream Lover,1959,Bobby DarinDream Lover
7,Browns,The Three Bells,1959,BrownsThe Three Bells
8,Fleetwoods,Come Softly To Me,1959,FleetwoodsCome Softly To Me
9,Wilbert Harrison,Kansas City,1959,Wilbert HarrisonKansas City
10,Fleetwoods,Mr. Blue,1959,FleetwoodsMr. Blue
1,Percy Faith,Theme From “A Summer Place”,1960,Percy FaithTheme From “A Summer Place”
2,Jim Reeves,He’ll Have To Go,1960,Jim ReevesHe’ll Have To Go
3,Everly Brothers,Cathy’s Clown,1960,Everly BrothersCathy’s Clown
4,Johnny Preston,Running Bear,1960,Johnny PrestonRunning Bear
5,Mark Dinning,Teen Angel,1960,Mark DinningTeen Angel
6,Brenda Lee,I’m Sorry,1960,Brenda LeeI’m Sorry
7,Elvis Presley,It’s Now Or Never,1960,Elvis PresleyIt’s Now Or Never
8,Jimmy Jones,Handy Man,1960,Jimmy JonesHandy Man
9,Elvis Presley,Stuck On You,1960,Elvis PresleyStuck On You
10,Chubby Checker,The Twist,1960,Chubby CheckerThe Twist
1,Bobby Lewis,Tossin’ And Turnin’,1961,Bobby LewisTossin’ And Turnin’
2,Patsy Cline,I Fall To Pieces,1961,Patsy ClineI Fall To Pieces
3,Highwaymen,Michael,1961,HighwaymenMichael
4,Roy Orbison,Cryin’,1961,Roy OrbisonCryin’
5,Del Shannon,Runaway,1961,Del ShannonRunaway
6,Jive Five,My True Story,1961,Jive FiveMy True Story
7,Chubby Checker,Pony Time,1961,Chubby CheckerPony Time
8,String-a-longs,Wheels,1961,String-a-longsWheels
9,Dee Clark,Raindrops,1961,Dee ClarkRaindrops
10,Joe Dowell,Wooden Heart (Muss I Denn),1961,Joe DowellWooden Heart (Muss I Denn)
1,Mr. Acker Bilk,Stranger On The Shore,1962,Mr. Acker BilkStranger On The Shore
2,Ray Charles,I Can’t Stop Loving You,1962,Ray CharlesI Can’t Stop Loving You
3,Dee Dee Sharp,Mashed Potato Time,1962,Dee Dee SharpMashed Potato Time
4,Bobby Vinton,Roses Are Red,1962,Bobby VintonRoses Are Red
5,David Rose,The Stripper,1962,David RoseThe Stripper
6,Shelley Fabares,Johnny Angel,1962,Shelley FabaresJohnny Angel
7,Little Eva,The Loco-Motion,1962,Little EvaThe Loco-Motion
8,Sensations,Let Me In,1962,SensationsLet Me In
9,Chubby Checker,The Twist,1962,Chubby CheckerThe Twist
10,Shirelles,Soldier Boy,1962,ShirellesSoldier Boy
1,Jimmy Gilmer and The Fireballs,Sugar Shack,1963,Jimmy Gilmer and The FireballsSugar Shack
2,Beach Boys,Surfin’ U.S.A.,1963,Beach BoysSurfin’ U.S.A.
3,Skeeter Davis,The End Of The World,1963,Skeeter DavisThe End Of The World
4,Cascades,Rhythm Of The Rain,1963,CascadesRhythm Of The Rain
5,Chiffons,He’s So Fine,1963,ChiffonsHe’s So Fine
6,Bobby Vinton,Blue Velvet,1963,Bobby VintonBlue Velvet
7,Paul and Paula,Hey Paula,1963,Paul and PaulaHey Paula
8,Little Stevie Wonder,Fingertips II,1963,Little Stevie WonderFingertips II
9,Village Stompers,Washington Square,1963,Village StompersWashington Square
10,Impressions,It’s All Right,1963,ImpressionsIt’s All Right
1,Beatles,I Want To Hold Your Hand,1964,BeatlesI Want To Hold Your Hand
2,Beatles,She Loves You,1964,BeatlesShe Loves You
3,Louis Armstrong,"Hello, Dolly!",1964,"Louis ArmstrongHello, Dolly!"
4,Roy Orbison,"Oh, Pretty Woman",1964,"Roy OrbisonOh, Pretty Woman"
5,Beach Boys,I Get Around,1964,Beach BoysI Get Around
6,Dean Martin,Everybody Loves Somebody,1964,Dean MartinEverybody Loves Somebody
7,Mary Wells,My Guy,1964,Mary WellsMy Guy
8,Gale Garnett,We’ll Sing In The Sunshine,1964,Gale GarnettWe’ll Sing In The Sunshine
9,J. Frank Wilson and The Cavaliers,Last Kiss,1964,J. Frank Wilson and The CavaliersLast Kiss
10,Supremes,Where Did Our Love Go,1964,SupremesWhere Did Our Love Go
1,Sam The Sham and The Pharaohs,Wooly Bully,1965,Sam The Sham and The PharaohsWooly Bully
2,Four Tops,I Can’t Help Myself (Sugar Pie Honey Bunch),1965,Four TopsI Can’t Help Myself (Sugar Pie Honey Bunch)
3,Rolling Stones,(I Can’t Get No) Satisfaction,1965,Rolling Stones(I Can’t Get No) Satisfaction
4,We Five,You Were On My Mind,1965,We FiveYou Were On My Mind
5,Righteous Brothers,You’ve Lost That Lovin’ Feelin’,1965,Righteous BrothersYou’ve Lost That Lovin’ Feelin’
6,Petula Clark,Downtown,1965,Petula ClarkDowntown
7,Beatles,Help!,1965,BeatlesHelp!
8,Herman’s Hermits,Can’t You Hear My Heartbeat,1965,Herman’s HermitsCan’t You Hear My Heartbeat
9,Elvis Presley,Crying In The Chapel,1965,Elvis PresleyCrying In The Chapel
10,Temptations,My Girl,1965,TemptationsMy Girl
1,Sgt. Barry Sadler,The Ballad Of The Green Berets,1966,Sgt. Barry SadlerThe Ballad Of The Green Berets
2,Association,Cherish,1966,AssociationCherish
3,Righteous Brothers,(You’re My) Soul And Inspiration,1966,Righteous Brothers(You’re My) Soul And Inspiration
4,Four Tops,Reach Out I’ll Be There,1966,Four TopsReach Out I’ll Be There
5,? and The Mysterians,96 Tears,1966,? and The Mysterians96 Tears
6,Monkees,Last Train To Clarksville,1966,MonkeesLast Train To Clarksville
7,Mama’s and The Papa’s,"Monday, Monday",1966,"Mama’s and The Papa’sMonday, Monday"
8,Supremes,You Can’t Hurry Love,1966,SupremesYou Can’t Hurry Love
9,Johnny Rivers,Poor Side Of Town,1966,Johnny RiversPoor Side Of Town
10,Mama’s and The Papa’s,California Dreamin’,1966,Mama’s and The Papa’sCalifornia Dreamin’
1,Lulu,To Sir With Love,1967,LuluTo Sir With Love
2,Box Tops,The Letter,1967,Box TopsThe Letter
3,Bobby Gentry,Ode To Billie Joe,1967,Bobby GentryOde To Billie Joe
4,Association,Windy,1967,AssociationWindy
5,Monkees,I’m A Believer,1967,MonkeesI’m A Believer
6,Doors,Light My Fire,1967,DoorsLight My Fire
7,Nancy Sinatra and Frank Sinatra,Somethin’ Stupid,1967,Nancy Sinatra and Frank SinatraSomethin’ Stupid
8,Turtles,Happy Together,1967,TurtlesHappy Together
9,Young Rascals,Groovin’,1967,Young RascalsGroovin’
10,Frankie Valli,Can’t Take My Eyes Off You,1967,Frankie ValliCan’t Take My Eyes Off You
1,Beatles,Hey Jude,1968,BeatlesHey Jude
2,Paul Mauriat,Love Is Blue,1968,Paul MauriatLove Is Blue
3,Bobby Goldsboro,Honey,1968,Bobby GoldsboroHoney
